"Espera en Restaurante"
Alternativa Si No *
Bar Si No *
Viernes Si No *
Hambrientos Si No *
Ocupacion Vacio Algunos Lleno *
Precio  $$$ $$ $ *
Llueve Si No *
Reseva Si No *
Tipo Frances Tailandes Italiano Hamburgueseria *
EsperaEstimada 0-10 10-30 30-60 >60 *
Esperaran Si No *
(x1  Si No No Si Algunos  $$$ No Si Frances        0-10    Si)
(x2  Si No No Si Lleno    $   No No Tailandes      30-60   No)
(x3  No Si No No Algunos  $   No No Hamburgueseria 0-10    Si)
(x4  Si No Si Si Lleno    $   No No Tailandes      10-30   No) ;;; clase modificada, posible errata en fig. 18.5 o 18.4
(x5  Si No Si No Lleno    $$$ No Si Frances        >60     No)
(x6  No Si No Si Algunos  $$  Si Si Italiano      0-10    Si)
(x7  No Si No No Vacio    $   Si No Hamburgueseria 0-10    No)
(x8  No No No Si Algunos  $$  Si Si Tailandes      0-10    Si)
(x9  No Si Si No Lleno    $   Si No Hamburgueseria >60     No)
(x10 Si Si Si Si Lleno    $$$ No Si Italiano      10-30   No)
(x11 No No No No Vacio    $   No No Tailandes      0-10    No)
(x12 Si Si Si Si Lleno    $   No No Hamburgueseria 30-60   Si)
(X13  NO SI NO SI VACIO $$$ SI NO ITALIANO >60 NO) 
(X14  NO NO NO SI VACIO $$ NO SI TAILANDES >60 NO) 
(X15  NO NO SI SI ALGUNOS $$ SI NO HAMBURGUESERIA 10-30 SI) 
(X16  SI SI NO NO LLENO $$$ NO NO TAILANDES 10-30 SI) 
(X17  NO SI NO NO LLENO $$ SI SI FRANCES 10-30 SI) 
(X18  NO SI SI SI VACIO $$ SI SI TAILANDES >60 NO) 
(X19  SI NO NO NO ALGUNOS $$$ SI NO TAILANDES 10-30 SI) 
(X20  SI SI SI NO ALGUNOS $$$ NO NO HAMBURGUESERIA 10-30 SI) 
(X21  SI SI SI SI VACIO $$ NO SI TAILANDES 10-30 NO) 
(X22  SI NO SI SI VACIO $ SI SI FRANCES >60 NO) 
(X23  SI NO NO SI LLENO $$ NO SI TAILANDES >60 NO) 
(X24  NO SI NO NO LLENO $$$ NO SI FRANCES 0-10 SI) 
(X25  SI SI NO SI ALGUNOS $$ SI NO FRANCES 10-30 SI) 
(X26  SI NO SI NO ALGUNOS $$$ SI SI HAMBURGUESERIA 10-30 SI) 
(X27  NO NO NO SI VACIO $$ SI NO ITALIANO >60 NO) 
(X28  SI NO SI SI LLENO $ NO SI FRANCES 0-10 NO) 
(X29  SI NO SI SI ALGUNOS $ SI NO FRANCES 30-60 SI) 
(X30  NO SI NO NO ALGUNOS $ SI SI HAMBURGUESERIA 10-30 SI) 
(X31  SI NO SI SI VACIO $$ NO NO ITALIANO 30-60 NO) 
(X32  NO NO SI SI ALGUNOS $$$ SI NO FRANCES 30-60 SI) 
(X33  SI SI SI NO LLENO $$ NO NO TAILANDES 10-30 SI) 
(X34  NO NO NO SI VACIO $$$ NO NO TAILANDES 30-60 NO) 
(X35  NO SI NO SI VACIO $$ SI SI HAMBURGUESERIA 0-10 NO) 
(X36  NO NO SI NO ALGUNOS $$$ NO SI ITALIANO 30-60 SI) 
(X37  SI NO NO SI LLENO $ NO SI ITALIANO 10-30 NO) 
(X38  NO NO SI SI VACIO $$$ SI SI HAMBURGUESERIA >60 NO) 
(X39  SI NO SI SI LLENO $$$ NO SI TAILANDES 0-10 NO) 
(X40  SI SI NO SI LLENO $ SI NO TAILANDES >60 NO) 
(X41  SI SI NO SI VACIO $$$ SI SI TAILANDES 10-30 NO) 
(X42  SI NO SI NO LLENO $$ SI NO ITALIANO >60 NO) 
(X43  SI NO SI SI LLENO $$$ NO NO FRANCES 10-30 NO) 
(X44  SI NO NO SI VACIO $$$ NO SI HAMBURGUESERIA >60 NO) 
(X45  SI NO SI SI VACIO $$ SI SI FRANCES 10-30 NO) 
(X46  SI SI NO NO LLENO $$ SI NO ITALIANO 0-10 SI) 
(X47  NO SI NO NO ALGUNOS $$ NO NO FRANCES 10-30 SI) 
(X48  NO NO NO NO ALGUNOS $$ NO NO TAILANDES 10-30 SI) 
(X49  NO SI SI NO VACIO $$$ NO SI TAILANDES 10-30 NO) 
(X50  NO NO SI SI LLENO $$ NO NO ITALIANO 0-10 SI) 
(X51  NO SI SI SI VACIO $ SI SI HAMBURGUESERIA 10-30 NO) 
(X52  SI SI SI SI VACIO $$$ NO SI FRANCES >60 NO) 
(X53  NO NO NO NO ALGUNOS $$$ NO SI FRANCES 0-10 SI) 
(X54  NO NO SI SI LLENO $$ SI NO ITALIANO 30-60 NO) 
(X55  SI NO NO NO ALGUNOS $ NO NO ITALIANO 30-60 SI) 
(X56  NO NO SI SI ALGUNOS $$$ SI NO TAILANDES 10-30 SI) 
(X57  NO NO SI SI VACIO $ SI NO FRANCES 10-30 NO) 
(X58  SI SI NO SI VACIO $$$ SI NO FRANCES 10-30 NO) 
(X59  NO SI SI SI ALGUNOS $ SI NO FRANCES >60 SI) 
(X60  NO NO NO NO VACIO $$$ SI NO TAILANDES 0-10 NO) 
(X61  NO SI NO SI VACIO $$ SI NO FRANCES 10-30 NO) 
(X62  SI SI NO NO LLENO $ SI SI HAMBURGUESERIA 30-60 SI) 
(X63  NO NO NO SI VACIO $$$ SI SI HAMBURGUESERIA 0-10 NO) 
(X64  SI SI SI SI VACIO $$$ NO NO HAMBURGUESERIA 0-10 NO) 
(X65  SI SI SI NO LLENO $$$ NO NO ITALIANO 10-30 SI) 
(X66  NO SI SI NO VACIO $$ SI SI HAMBURGUESERIA 0-10 NO) 
(X67  NO NO NO NO LLENO $$ NO NO FRANCES 30-60 NO) 
(X68  SI SI NO SI VACIO $$$ SI SI TAILANDES >60 NO) 
(X69  SI SI NO NO LLENO $$$ NO NO FRANCES >60 NO) 
(X70  SI SI SI SI ALGUNOS $$$ SI SI HAMBURGUESERIA 30-60 SI) 
(X71  NO SI NO NO ALGUNOS $ SI SI FRANCES 0-10 SI) 
(X72  NO NO SI SI ALGUNOS $ NO SI FRANCES 10-30 SI) 
(X73  NO SI NO NO ALGUNOS $ SI NO FRANCES 30-60 SI) 
(X74  SI NO SI NO ALGUNOS $$ SI NO FRANCES >60 SI) 
